List Size,Run Time,Nodes Visited,Brute Force Score,Our Score
14,Run Time: 0.0045759678,"['D', 'E', 'C', 'G', 'C', 20, 'C', 'E', 'D', 1, 'D', 8, 'B', 'A']",91,6
14,Run Time: 0.0020523071,"['D', 'E', 'D', 8, 'D', 1, 2, 'A', 'B', 'F', 'H', 20, 'C', 'G']",91,0
14,Run Time: 0.0045943260,"['D', 'E', 'D', 'E', 'D', 'E', 'C', 'G', 26, 20, 'H', 'F', 'B', 'A']",91,6
14,Run Time: 0.0027050972,"['D', 'E', 'C', 'E', 14, 'E', 'C', 'G', 'C', 20, 14, 8, 'B', 'A']",91,18
14,Run Time: 0.0048825741,"['D', 'E', 'C', 20, 'H', 'F', 'H', 'F', 'B', 'F', 14, 8, 'B', 'A']",91,-18
14,Run Time: 0.0045862198,"['D', 'E', 'C', 'G', 'I', 'I', 'I', 'I', 26, 'J', 'H', 'F', 'B', 'A']",91,8
14,Run Time: 0.0002915859,"['D', 8, 'D', 1, 'D', 'E', 'D', 'E', 'C', 20, 14, 'F', 'B', 'A']",91,-44
14,Run Time: 0.0055768490,"['D', 'E', 'D', 'E', 'D', 'E', 'C', 'G', 26, 20, 'H', 'F', 'B', 'A']",91,-53
14,Run Time: 0.0047643185,"['D', 8, 14, 'E', 14, 8, 'D', 1, 'D', 1, 'D', 8, 2, 'A']",91,-47
14,Run Time: 0.0000000000,"['D', 1, 'D', 8, 'B', 'F', 'B', 'F', 14, 'E', 'D', 1, 2, 'A']",91,-32
14,Run Time: 0.0092434883,"['D', 1, 'D', 'E', 'C', 20, 14, 'E', 'C', 20, 14, 'F', 'B', 'A']",91,-119
15,Run Time: 0.0001401901,"['D', 'E', 'C', 'E', 'C', 'G', 'I', 'C', 'G', 26, 20, 'H', 'F', 'B', 'A']",95,-3
15,Run Time: 0.0030035973,"[2, 'A', 'B', 'F', 16, 10, 'B', 8, 'B', 10, 'B', 'F', 14, 'E', 'C']",95,-37
15,Run Time: 0.0070624352,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 'H', 'J', 26, 20, 'H', 20, 'C']",95,-27
15,Run Time: 0.0007665157,"[2, 'A', 'B', 'F', 'B', 8, 14, 8, 2, 1, 'D', 8, 14, 20, 'C']",95,-56
15,Run Time: 0.0054550171,"['D', 'E', 'C', 'G', 'I', 'C', 20, 14, 'E', 'D', 1, 2, 'A', 'B', 'F']",95,-47
15,Run Time: 0.0038397312,"[2, 'A', 'B', 8, 'B', 8, 'B', 'F', 14, 8, 'B', 'F', 'H', 20, 'C']",95,-112
15,Run Time: 0.0046999454,"['D', 8, 'D', 8, 'B', 'F', 16, 10, 'B', 'A', 2, 1, 'D', 'E', 'C']",95,-8
15,Run Time: 0.0028114319,"['D', 'E', 'C', 'G', 'I', 'C', 'G', 'I', 'I', 'C', 20, 'H', 'F', 'B', 'A']",95,-50
15,Run Time: 0.0054192543,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 14, 'F', 14, 'E', 'D', 'E', 'C']",95,-60
15,Run Time: 0.0056359768,"['D', 'E', 'D', 'E', 'D', 'E', 'C', 20, 14, 8, 'D', 1, 2, 'A', 'B']",95,-62
15,Run Time: 0.0000989437,"['D', 'E', 'C', 'G', 'I', 'C', 'G', 'C', 'G', 'C', 20, 'H', 'F', 'B', 'A']",95,-17
15,Run Time: 0.0005884171,"['D', 1, 'D', 1, 2, 'A', 'B', 'A', 2, 8, 14, 'F', 'H', 20, 'C']",95,-12
15,Run Time: 0.0010857582,"['D', 'E', 'C', 'E', 'D', 8, 'B', 'A', 'B', 'F', 'H', 20, 'C', 'G', 'I']",95,-36
15,Run Time: 0.0023369789,"['D', 'E', 'C', 'G', 'C', 'E', 'D', 1, 'D', 1, 2, 'A', 'B', 'F', 'H']",95,-94
15,Run Time: 0.0014553070,"['D', 'E', 'C', 'G', 'I', 'C', 'E', 14, 'E', 'C', 20, 'H', 'F', 'B', 'A']",95,-134
15,Run Time: 0.0070638657,"['D', 'E', 'C', 'G', 'C', 'G', 'C', 'G', 'I', 26, 'J', 'H', 'F', 'B', 'A']",95,-160
15,Run Time: 0.0057642460,"['D', 'E', 'D', 1, 'D', 'E', 'D', 1, 2, 'A', 'B', 'F', 14, 'E', 'C']",95,14
15,Run Time: 0.0016758442,"[2, 'A', 'B', 'F', 'H', 22, 28, 'J', 28, 22, 'H', 'J', 26, 'G', 'C']",95,-25
15,Run Time: 0.0006463528,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 'H', 22, 'H', 22, 'H', 20, 'C']",95,-49
16,Run Time: 0.0086133480,"['D', 1, 'D', 8, 'B', 'F', 14, 20, 'C', 'E', 'D', 'E', 14, 8, 2, 'A']",99,-106
16,Run Time: 0.0001366138,"['D', 'E', 'C', 'G', 'I', 'I', 'C', 'G', 'I', 'I', 'C', 20, 'H', 'F', 'B', 'A']",99,-6
16,Run Time: 0.0047287941,"['D', 'E', 'C', 'E', 'C', 'G', 26, 32, 20, 'H', 'J', 33, 'H', 'F', 'B', 'A']",99,16
16,Run Time: 0.0028495789,"['D', 8, 'B', 'F', 'H', 'J', 26, 'G', 'C', 20, 'H', 'F', 'B', 'F', 'B', 'A']",99,-32
16,Run Time: 0.0054039955,"['D', 'E', 'D', 8, 'D', 8, 'D', 'E', 'C', 'E', 14, 'E', 14, 'F', 'B', 'A']",99,-49
16,Run Time: 0.0030894279,"['D', 'E', 'D', 8, 'B', 'F', 16, 'F', 14, 'E', 'C', 'E', 14, 8, 2, 'A']",99,-39
16,Run Time: 0.0056495667,"['D', 1, 2, 'A', 'B', 10, 16, 22, 28, 34, 22, 'H', 22, 'H', 20, 'C']",99,-93
16,Run Time: 0.0058634281,"['D', 'E', 'C', 'G', 'I', 'C', 'G', 'C', 20, 'H', 'J', 33, 'H', 'F', 'B', 'A']",99,-76
16,Run Time: 0.0000000000,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 14, 'F', 16, 22, 'H', 20, 'C', 'G']",99,-24
16,Run Time: 0.0002737045,"['D', 'E', 'C', 'E', 14, 'F', 'H', 'F', 'B', 'F', 'B', 'F', 'B', 'F', 'B', 'A']",99,-36
17,Run Time: 0.0045266151,"['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'C', 'G', 'I', 26, 'J', 'H', 'F', 'B', 'A']",103,20
17,Run Time: 0.0026044846,"['D', 'E', 'C', 'G', 26, 'G', 26, 32, 'G', 'C', 'G', 26, 'J', 'H', 'F', 'B', 'A']",103,-278
17,Run Time: 0.0062329769,"['D', 'E', 'D', 8, 'D', 1, 2, 'A', 'B', 'F', 'H', 'J', 'H', 'J', 26, 'G', 'C']",103,-31
17,Run Time: 0.0039327145,"['D', 'E', 'D', 8, 'B', 'A', 'B', 'F', 'B', 10, 16, 'F', 'H', 20, 'C', 'G', 'I']",103,9
17,Run Time: 0.0033841133,"['D', 8, 'B', 'A', 'B', 8, 14, 'F', 16, 22, 'H', 'J', 26, 32, 'G', 'I', 'C']",103,-28
17,Run Time: 0.0025651455,"[2, 'A', 'B', 'A', 'B', 'A', 4, 'A', 2, 1, 'D', 'E', 'D', 1, 'D', 'E', 'C']",103,10
17,Run Time: 0.0050127506,"['D', 'E', 'D', 'E', 'C', 'G', 'I', 'I', 'I', 'I', 'I', 'C', 'E', 14, 'F', 'B', 'A']",103,-20
18,Run Time: 0.0054850578,"['D', 'E', 'D', 'E', 'C', 20, 'H', 22, 'H', 'F', 'B', 'F', 14, 'E', 'D', 8, 2, 'A']",107,-59
18,Run Time: 0.0002663136,"['D', 'E', 'D', 'E', 'D', 1, 2, 'A', 'B', 'F', 14, 'F', 'H', 'J', 26, 32, 20, 'C']",107,-31
18,Run Time: 0.0044589043,"['D', 'E', 'C', 'G', 'C', 'E', 14, 'E', 14, 'E', 'C', 'G', 'C', 20, 'H', 'F', 'B', 'A']",107,16
18,Run Time: 0.0053439140,"['D', 'E', 'D', 8, 'D', 1, 2, 'A', 'B', 'F', 14, 8, 14, 'F', 'H', 20, 'C', 'G']",107,-43
18,Run Time: 0.0045430660,"['D', 'E', 14, 'E', 'C', 'E', 14, 'F', 'H', 20, 14, 8, 'B', 'F', 14, 8, 'B', 'A']",107,-13
18,Run Time: 0.0055959225,"['D', 'E', 'C', 'E', 'C', 'G', 'I', 'I', 'I', 'C', 'G', 'I', 'C', 20, 'H', 'F', 'B', 'A']",107,-54
19,Run Time: 0.0050292015,"[2, 'A', 'B', 10, 16, 22, 16, 'F', 16, 'K', 23, 'K', 16, 22, 'H', 'J', 26, 'G', 'C']",111,-35
19,Run Time: 0.0002312660,"['D', 1, 2, 'A', 'B', 10, 'B', 'F', 14, 'F', 'H', 22, 16, 22, 'H', 22, 'H', 20, 'C']",111,-24
19,Run Time: 0.0005722046,"['D', 'E', 'D', 1, 'D', 1, 2, 'A', 'B', 'F', 16, 22, 28, 22, 28, 'J', 26, 'G', 'C']",111,-25
19,Run Time: 0.0067694187,"['D', 'E', 'C', 'G', 'C', 'G', 'I', 26, 20, 'C', 'E', 'C', 20, 'H', 'J', 'H', 'F', 'B', 'A']",111,34
19,Run Time: 0.0000000000,"['D', 'E', 'C', 'G', 'I', 26, 'J', 'H', 'F', 'B', 'F', 14, 8, 'B', 'A', 4, 'P', 'M', 'K']",111,-88
19,Run Time: 0.0005121231,"['D', 'E', 'C', 'G', 'C', 'G', 'I', 26, 'J', 'H', 'F', 'B', 'F', 16, 'K', 'M', 10, 'B', 'A']",111,2
19,Run Time: 0.0059733391,"['D', 'E', 'D', 1, 2, 'A', 'B', 'A', 'B', 'F', 'B', 8, 2, 1, 2, 8, 14, 20, 'C']",111,-148
19,Run Time: 0.0002126694,"['D', 1, 'D', 1, 'D', 'E', 'D', 1, 2, 'A', 'B', 'A', 2, 1, 'D', 1, 'D', 'E', 'C']",111,-17
19,Run Time: 0.0007278919,"['D', 'E', 'C', 'G', 'I', 26, 20, 26, 'G', 'C', 'E', 'D', 1, 2, 'A', 'B', 'A', 'B', 'F']",111,-6
20,Run Time: 0.0045433044,"['D', 'E', 'D', 'E', 'C', 'E', 'C', 'G', 'C', 'G', 'C', 'E', 'D', 8, 'B', 'F', 16, 'F', 'B', 'A']",115,-3
21,Run Time: 0.0003960133,"['D', 'E', 'D', 8, 'D', 'E', 'D', 'E', 'C', 'G', 26, 32, 'G', 'C', 20, 'H', 'F', 'B', 'F', 'B', 'A']",119,-43
21,Run Time: 0.0069723129,"['D', 8, 'B', 'F', 16, 10, 'B', 'A', 'B', 10, 'B', 8, 'D', 8, 'D', 1, 2, 1, 'D', 'E', 'C']",119,-165
21,Run Time: 0.0042560101,"['D', 'E', 'C', 20, 14, 'E', 'C', 'G', 'I', 'I', 26, 20, 'H', 22, 23, 'O', 'K', 'M', 10, 'B', 'A']",119,-6
21,Run Time: 0.0017139912,"['D', 'E', 'D', 'E', 'D', 1, 2, 'A', 'B', 8, 'B', 8, 14, 8, 'D', 1, 'D', 8, 14, 'E', 'C']",119,-108
21,Run Time: 0.0005967617,"['D', 'E', 'C', 'G', 'I', 'C', 20, 'H', 'F', 'B', 'A', 4, 'A', 2, 1, 'D', 'E', 14, 20, 'H', 'J']",119,4
21,Run Time: 0.0008752346,"['D', 'E', 14, 'F', 'H', 20, 'C', 'G', 'C', 'E', 14, 'E', 'C', 'E', 'D', 'E', 'D', 1, 2, 'A', 'B']",119,-91
21,Run Time: 0.0015237331,"['D', 'E', 'C', 'E', 'C', 'E', 'C', 'E', 'D', 1, 2, 'A', 'B', 'F', 'B', 'F', 'H', 'J', 26, 'G', 'I']",119,-96
21,Run Time: 0.0002036095,"['D', 'E', 'C', 'G', 'I', 'C', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'D', 'E', 14, 'F', 'H', 'F', 'B', 'A']",119,-5
21,Run Time: 0.0000000000,"['D', 8, 'B', 'F', 14, 20, 'C', 'E', 'C', 20, 26, 'G', 'I', 'C', 'E', 14, 8, 'D', 1, 2, 'A']",119,-324
22,Run Time: 0.0072121620,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 'H', 'J', 28, 29, 'N', 'N', 28, 'J', 'H', 22, 'H', 20, 'C', 'G']",123,-57
22,Run Time: 0.0009975433,"['D', 'E', 'C', 'G', 'I', 'I', 26, 'J', 'H', 'J', 33, 28, 22, 16, 'K', 18, 23, 22, 'H', 'F', 'B', 'A']",123,-41
22,Run Time: 0.0078370571,"['D', 'E', 'D', 8, 'D', 8, 'B', 'A', 2, 1, 2, 'A', 2, 8, 14, 'F', 14, 20, 'C', 'E', 'C', 'G']",123,-38
22,Run Time: 0.0057554245,"['D', 'E', 'D', 8, 'D', 1, 2, 'A', 'B', 'F', 'B', 8, 14, 20, 'C', 'E', 14, 'F', 14, 20, 'C', 'G']",123,-75
22,Run Time: 0.0052886009,"['D', 'E', 'D', 1, 'D', 1, 2, 'A', 'B', 'A', 'B', 'F', 16, 'F', 'H', 'J', 33, 'H', 'J', 26, 'G', 'C']",123,-54
22,Run Time: 0.0075566769,"['D', 'E', 'C', 20, 'C', 20, 26, 'J', 28, 29, 23, 22, 'H', 'F', 'B', 'F', 16, 'F', 14, 8, 'B', 'A']",123,-40
22,Run Time: 0.0000000000,"['D', 'E', 'C', 20, 14, 8, 'B', 'F', 14, 20, 26, 'J', 26, 'G', 'C', 'E', 14, 'E', 'D', 1, 2, 'A']",123,-101
22,Run Time: 0.0051157475,"['D', 'E', 'D', 8, 'B', 'F', 16, 10, 'M', 10, 4, 'P', 4, 'P', 4, 'A', 'B', 8, 14, 20, 'C', 'G']",123,-24
23,Run Time: 0.0044603348,"['D', 'E', 'C', 'G', 26, 32, 20, 14, 'F', 'B', 'F', 14, 8, 'B', 'F', 'H', 22, 'H', 20, 14, 'F', 'B', 'A']",127,26
23,Run Time: 0.0052487850,"['D', 'E', 'D', 1, 2, 'A', 'B', 'F', 16, 'F', 'H', 'F', 16, 'F', 16, 'F', 'B', 8, 2, 8, 14, 20, 'C']",127,-32
23,Run Time: 0.0001008511,"['D', 'E', 'C', 'G', 'I', 'C', 20, 'C', 'G', 'C', 'E', 'D', 'E', 'D', 'E', 'C', 20, 'C', 20, 'H', 'F', 'B', 'A']",127,30
23,Run Time: 0.0053160191,"['D', 'E', 'D', 8, 'B', 'A', 2, 8, 14, 'E', 'D', 8, 'D', 8, 'D', 8, 14, 8, 'D', 1, 'D', 'E', 'C']",127,-54
23,Run Time: 0.0050344467,"['D', 'E', 'D', 'E', 'C', 'E', 'C', 'G', 'C', 'E', 'C', 'G', 'I', 'I', 'C', 20, 'H', 'J', 33, 'H', 'F', 'B', 'A']",127,-10
